Program Name,Program Type,Location,Phone,Email,Website,Languages,Age Groups,Curriculum,Schools Served
$10 a Day ChildCareBC Centre - 3 Corners Child Care Centre I,Group Daycare (30mths - School Age),1 Kingsway,604-257-3061,vera.meza@vancouver.ca,http://www.mountpleasantcc.ca/,English,2.5 - 5 yrs,Emergent/Play Based,
$10 a Day ChildCareBC Centre - 3 Corners Child Care Centre II (Infant/Toddler),Group Daycare (under 36 mths),1 Kingsway,604-257-3061,vera.meza@vancouver.ca,http://www.mountpleasantcc.ca/,English,19 - 36 mo,Emergent/Play Based,
$10 a Day ChildCareBC Centre - Acadia Daycare Centre,Group Daycare (30mths - School Age),101 - 2730 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,English; Mandarin; French; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Atelier Children's Centre - Toddler Program,Group Daycare (under 36 mths),396-825 Homer Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Atelier Children's Centre (3-5 Program),Group Daycare (30mths - School Age),Suite 396 - 825 Homer Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Auklet Group Day Care,Group Daycare (30mths - School Age),5615 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Barish,Group Daycare (30mths - School Age),2835 (A) Revelstoke Court,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Bayshore Gardens Children's Centre (3-5 Program),Group Daycare (30mths - School Age),200 - 581 Cardero Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Bayshore Gardens Children's Centre (Infant/Toddler),Group Daycare (under 36 mths),200-581 Cardero Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Beach YMCA Child Care Centre,Group Daycare (30mths - School Age),1475 Burrard Street,604-683-3417,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; French; Italian,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Berwick Child Development Centre,Group Daycare (30mths - School Age),2765 Osoyoos Crescent,604-822-6616,berwick@develop.bc.ca,,English; Spanish; Mandarin; French; Cantonese; Polish; German,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Boat Day Care Centre,Group Daycare (30mths - School Age),2908 Victoria Drive,604-423-3074,boatdaycare@gmail.com,http://www.boatdaycare.org/,English; Mandarin; French; Cantonese,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Bob & Kay Ackles YMCA Nanook House I,Group Daycare (30mths - School Age),1255 East 10th Avenue,604-872-7011,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English; Tagalog; Hindi,2.5 - 5 yrs,Reggio Inspired,
$10 a Day ChildCareBC Centre - Bob & Kay Ackles YMCA Nanook House II,Group Daycare (under 36 mths),1255 East 10th Avenue,604-872-7011,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Britannia Child Care Centre Out Of School,Group Care School Age,1661 Napier Street,604-718-5843,lorraine.evans@vancouver.ca,,English; Cantonese,5 - 12 yrs,,Britannia; Queen Victoria Annex
$10 a Day ChildCareBC Centre - Britannia on East 7th,Group Daycare (30mths - School Age),960 East 7th Avenue,604-718-5844,mountpleasantchildcare@shawbiz.ca,,English; Farsi; French; Hebrew,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Britannia Preschool,Preschool (30mths - School Age),1661 Napier Street,604-718-5843,lorraine.evans@vancouver.ca,,English; Spanish; Greek,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Canada Goose Daycare - Toddler Program,Group Daycare (under 36 mths),5660A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Caribou (3-5 Program),Group Daycare (30mths - School Age),2329 West Mall,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Caribou (Infant/Toddler),Group Daycare (under 36 mths),2329 West Mall,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Champlain Child Development Centre,Group Daycare (30mths - School Age),7760 Stikine Place,604-438-5525,champlain@develop.bc.ca,,English; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Charleson Children's Centre - 3-5 Program,Group Daycare (30mths - School Age),1378 Richards Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Charleson Children's Centre - Toddler Program,Group Daycare (under 36 mths),1378 Richards Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Children's Hearing & Speech Centre of BC,Group Daycare (30mths - School Age),3575 Kaslo Street,604-437-0255,info@childrenshearing.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Children's World Child Care Centre,Group Daycare (30mths - School Age),475 Alexander Street,604-254-2551,cw@vjls-jh.com,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Children's World Preschool,Preschool (30mths - School Age),475 Alexander Street,604-254-2551,cw@vjls-jh.com,,English; Japanese,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Chuva - Toddler Program,Group Daycare (under 36 mths),5590 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - City Hall Child Care Society (3-5 Program),Group Daycare (30mths - School Age),2685 Cambie Street,604-876-8918,cityhallchildcare@telus.net,,English; Tagalog; Mandarin; Punjabi; Hindi; Polish; Serbo-Croatian,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - City Hall Child Care Society (Infant/Toddler),Group Daycare (under 36 mths),2685 Cambie Street,604-876-8918,cityhallchildcare@telus.net,,English; Tagalog; Mandarin; Punjabi; Hindi; Serbo-Croatian,19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Citygate Early Learning and Care Centre,Group Daycare (30mths - School Age),1192 Quebec Street,604-687-1150,awilliams@ywcavan.org,http://www.ywcavan.org/,English; Mandarin; Cantonese; Filipino,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Coho Infant Day Care,Group Daycare (under 36 mths),5590A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo,,
