name,contact_date,neighbourhood,vacancies,location,phone,email,website,languages,age_groups,curriculum,match_method,match_score
Tiny Stars Licensed Family Child Care,August 28,Yaletown,Full-time / Part-time spot available for 12 months to 3 years old starting September 15th,Unit 419 - 1267 Marinaside Crescent,604-724-6886,olivera.roncevic@novuscom.net,,English; Serbian,0 - 18 mo; 19 - 36 mo,,phone,100.0
Honey In-Home Multi-Age Child Care,August 28,Renfrew-Collingwood,1 spot available,#105 - 3489 Ascot Place,778-999-1521,suhani@hotmail.com,,English; Hindi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Langara Learning Centre (Group Child Care for under 3),August 28,Sunset,1 spot available for 8 months to 3 years old starting in September,2764 West 10th Avenue,778-889-9654,,,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Little Stars Child Care Center East 58th,August 28,Sunset,2 spots available starting in October for 8 months to 3 years old,2764 West 10th Avenue,778-889-9654,,,English,0 - 18 mo; 19 - 36 mo,,phone,100.0
Global Montessori Centre,August 28,Marpole,2 full-time spaces available *Currently accepting for 2027*,8860 Hudson Street,604-558-1150,angelaj@globalmontessoricenter.com,globalmontessoricenter.ca/,English; Korean,0 - 18 mo; 19 - 36 mo,Montessori,phone,100.0
House of Montessori Daycare (Multi- Age Child Care),August 28,Victoria-Fraserview,"2 spots available for 1 year old and over part-time, full-time and drop-in available",6599 Berkeley Street,604-417-1505,info.daycare09@yahoo.com,,English; Tagalog,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,Montessori,name,86.7
Langara Stars Multi-Age Daycare,August 26,Marpole,2 spots available for 2 years old and over,7430 Cambie Street,778-865-4842,zfarro@gmail.com,,English; Farsi; Thai,0 - 18 mo; 2.5 - 5 yrs; 5 - 12 yrs,Montessori,phone,100.0
Tweety Blue Bird III,August 26,Sunset,2 spots for 2-5 years old,425 East 56th Avenue,778-855-9546,tweetybluebirdmain@gmail.com,,English,2.5 - 5 yrs,,name,97.4
Lovey's Little Angels Day Care In-Home Multi-Age Child Care,August 25,Sunset,1 spot available for under 3 years old and 1 spot available for 3-5 years old. Spots available for extended childcare and overnight care,5761 Chester Street,604-215-2214,lovey_bains@yahoo.ca,,Punjabi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Oh! Petits Pieds Child Care (RLNR),August 25,Mount Pleasant,1 spot available for 10 months old and over Monday – Friday 8am-4:30pm,,778-814-5284,,,English; French; Arabic,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Kenagnes Licensed Family Child Care,August 25,Sunset,Spots available for any age,534 East 49th Avenue,778-329-2525,jbearfamily@gmail.com,,English; Mandarin; Cantonese,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,name,100.0
Tiny Little Duckies Licensed Family Child Care,August 24,Sunset,Spots available for 1 year old -5 years old *ACCB available* Monday- Friday 8:30am-5pm *CCFRI approved*,784 East 62nd Avenue,604-327-7827,nayal.kumar@yahoo.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Young Stars In-Home Multi-Age Child Care,August 24,Oakridge,2 spots available for 2.5 years old and older starting September 1st *After school care available for Sir William Osler Elementray ONLY,5839 Montgomery Street,604-889-0795,diptipatel19@gmail.com,,English; Punjabi; Hindi,19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Happy Times In-Home Multi Age Child Care,August 24,Kensington-Cedar Cottage,4 spots for 2 years old and older,3768 Knight Street,778-688-9775,lindaweiyan@hotmail.com,,English; Mandarin,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
University Hill Preschool,August 21,UEL/UBC,"Enrolments is currently open Teachers speak English, Farsi, Urdu, French, Hindi and Mandarin 3-Year-Old (AM):M- Thu, 9:10-11:10 AM 4-Year-Old (PM):M-Thu, 12:30-3:30 PM *4x Prime Minister’s Award Winner (Excellence in Early Childhood Education)",5210 University Boulevard,604-228-8610,universityhillpreschool@gmail.com,universityhillpreschool.com,English; Farsi; Urdu; French; Hindi,2.5 - 5 yrs,Reggio Inspired,phone,100.0
Niki Child Care (RLNR),August 21,South Cambie,1 full- time spot available starting September 1st for 0-3 years old Weekend care (Sat & Sun) 8am-10pm Before-After school care is available,,604-742-0670,,,English; Farsi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Nadi’s Licensed Family Child Care,August 20,West End,Spot for 1.5 years old starting in September,#201-990 Broughton Street,604-689-1066,nadiafshar50@gmail.com,,English; Farsi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Rainbow Child Care (RLNR),August 19,West End,2 spots available for 0-5 years old. Monday to Friday 8am to 5pm Extended care & Weekend care available,,778-681-4161,,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Little Stars Child Care Centre (Infant/Toddler),August 18,Sunset,2 full-time spots for under 36mths available at the end of October,7308 Main Street,778-829-9650,arzoomashal@hotmail.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Plum Treehouse In-Home Multi-Age Child Care,August 16,Dunbar-Southlands,spots available for 30 months to 5 years old. Provide before- and after- school care.,3530 West 42nd Ave,236-863-3791,lusuyan1212@gmail.com,,English; Mandarin,2.5 - 5 yrs; 5 - 12 yrs,,phone,100.0
Nini Licensed Family Child Care,August 14,Sunset,2 spots available for 0-3 years old Monday to Friday 7:30am to 5pm *Prefers to be contacted by text message or email,565 East 50th Avenue,604-704-2941,azarkhorramshahi@yahoo.ca,,English; Farsi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Play and Learn Montessori In-Home Multi-Age Child Care,August 14,Sunset,"2 spots for 24 months and over *Care provider speaks English, Russian and Ukraine",34 East 46th Avenue,778-996-8019,gurmichael@yahoo.ca,,English; Russian; Ukrainian,2.5 - 5 yrs,Montessori,phone,100.0
Happy House In- Home Muti-Age Child Care,August 14,Sunset,2 spots available for 3-5 years old,720 E 61st Ave,604-803-8325,farhana.hossain197423@gmail.com,,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs; 5 - 12 yrs,,name,87.5
Champlain Heights Community Centre,August 14,Killarney,Weekend Childcare spots available for school age children only. (8AM-6PM) Register through the link below https://anc.ca.apm.ac tivecommunities.com/ vancouver/activity/sea rch/detail/603319?onli neSiteId=0&from_origi nal_cui=true,3350 Maquinna Drive,604-718-6575,Joan.Shum@vancouver.ca,,English,5 - 12 yrs,,phone,100.0
Monkeying Around Licensed Family Child Care,August 14,West End,1 sport available starting November,214-1267 Marinaside Crescent,604-669-3127,jeja.mita@gmail.com,,English; Serbian,0 - 18 mo; 19 - 36 mo,,name,100.0
Precious Moments Licensed Family Child Care,August 13,West End,1 Full-time or Part-time spot available for 1-2 years old starting September 1 part-time spot for 1-2 years old on Thursday and Friday only Drop-in care available for any age on Saturdays only,#1-1160 Comox Street,604-325-1312,,,English; Cantonese,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
1st Ave Montessori Licensed Family Child Care,August 12,Kitsilano,1 spot available for under 2 years old 1 spot for 2 years old and over,3544 West 1st Avenue,604-879-0224,almatallo@hotmail.com,,English; Tagalog,2.5 - 5 yrs,Montessori,phone,100.0
Anahid In-Home Multi-Age Child Care,August 13,Downtown,"1 spot available for 1 year old and over, 2 spots available for 2.5 years old and over.",#904 - 1000 Beach Avenue,778-373-0329,nahidrh@yahoo.ca,,English; Farsi,0 - 18 mo; 19 - 36 mo,,phone,100.0
St. James Day Care Center,August 12,Kitsilano,Spots available for 3 years old and over,3214 West 10th Avenue,604-733-1821,teachers@stjamesdaycare.com,stjamesdaycare.com,English; Cantonese; Japanese,2.5 - 5 yrs,Play Based,name,100.0
Yaletown Play to Learn Licensed Family Child Care,August 10,Downtown,2 Part-time spot for 18 months and over starting September 15th *Monday & Tuesday only*,#412-1267 Marinaside Crescent,604-805-3825,magdanikolic032@yahoo.ca,,English; Serbian,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Lobat’s Place Licensed Family Child Care,August 10,Kitsilano,3 spaces available for 18 months and over,3175 West 14th Avenue,604-719-6798,lobatreisifard@gmail.com,,English; Farsi,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Cozy Childcare Inc. (Multi-Age),August 10,Kitsilano,1 spot for 3-5 years old,3236 West 13th Avenue,778-237-0035,abaszadehfatima@gmail.com,Cozychildcare.com,English,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
Dragonfly Licensed Family Child Care,August 7,Yaletown,Spot available for 12months old and over starting on September 15th Monday - Friday,#403- 1267 Marinaside Crescent,604-767-4749,brkiclila@yahoo.com,,English; Serbian,0 - 18 mo; 19 - 36 mo; 2.5 - 5 yrs,,phone,100.0
