name,address,neighbourhood,phone,email,website,languages,age_groups,curriculum,contact_date,vacancies,lat,lng,geocode_score
Gingerbread House Day Care,3350 East 54th Avenue,Killarney,604-433-4819,,day-care-vancouver.com,English,2.5 - 5 yrs,Play Based,April 2026,Enrolment is open for 3-5 years old,49.2189698,-123.0358544,100
Tiny Stars Licensed Family Child Care,Unit 419 - 1267 Marinaside Crescent,Yaletown,604-724-6886,olivera.roncevic@novuscom.net,,English; Serbian,0 - 18 mo; 19 - 36 mo,,April 2026,1 spot available for 15mths – 3 years old starting on June 15th Monday – Thursday 8:30am-5pm,49.2728706,-123.1209146,98
Brightsky Child Care Centre (30 months to 5 years old),666 East 63rd Avenue,Sunset,778-919-2945,brightskyeducation1@gmail.com,brightskychildcare.ca/,English; Mandarin,2.5 - 5 yrs,,April 2026,"Spots available for 2.5-5 years old immediately *Bilingual – English and Mandarin, teaching children to learn Mandarin Hours: 8:00 AM – 5:30 PM",49.2128264,-123.0920863,100
Lovely Angels In-Home Multi Age Care,4947 Manor Street,Renfrew Collingwood,778-689-3484,changrebe@gmail.com,,English; Korean,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,May 1,Saturday care available 9am-2pm,49.2404372,-123.0411295,100
Anahid In-Home Multi-Age Child Care,#904 - 1000 Beach Avenue,Downtown,778-373-0329,nahidrh@yahoo.ca,,English; Farsi,0 - 18 mo; 19 - 36 mo,,May 1,Spots available for 2.5 years old and older starting in May or June 2026,49.2754455,-123.13407,100
Jungle Trail Child Care (In Home Muti- Age),3228 East 48th Avenue,Killarney,778-881-2772,jungletrailchildcare@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,May 1,1 spot available for 2 years old and over,49.2252383,-123.0377741,100
Stellers Jay Academy,8280 Ross Street,River District,604-325-1300,info@stellersjayacademy.com,stellersjayacademy.com/,English,2.5 - 5 yrs,,April 30,5 spot available currently for 10mths – 2 years old 21 spots available currently for 3-5 years old,49.2096484,-123.0834894,100
The Trafalgar Out of School Care Society,4020 Trafalgar Street,Arbutus Ridge,604-732-8220,tooscsmanager@live.ca,,English,5 - 12 yrs,,April 29,"Registration for the upcoming Summer Break program for kindergarten to Grade 7 June 29 to September 3, 2026",49.2501313,-123.164268,100
IKOKA Child Care Learning Center,7808 Ross Street,Sunset,778-861-7446,ikokachildcarecenter@outlook.com,,English,2.5 - 5 yrs,,April 29,1 full time spot currently available now for 30 months and older 2 full time spots starting August 2026 for 30 months and older 1 full time spot for 30 months and older starting September 2026,49.2135248,-123.0829303,100
Lovey’s Little Angels In-Home Multi Age Care,5761 Chester Street,Sunset,604-215-2214,lovey_bains@yahoo.ca,,Punjabi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 24,2 spots available in September 2026 for 3-5 Overnight care available,49.2322807,-123.0896321,100
Happy House In- Home Muti-Age Child Care,720 E 61st Ave,Sunset,604-803-8325,farhana.hossain197423@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 24,1 spot available for 3-5 years old,49.2145672,-123.0901658,100
Activa’s Children Studio In-Home Multi Age Child Care,#4 - 3560 Euclid Avenue,Renfrew- Collingwood,778-898-5437,anyelika_bm@hotmail.com,,English,2.5 - 5 yrs,,April 23,1 spot available for 2- 5 years old,49.2348722,-123.0296261,98
Arbutus Montessori Multi-Age Child Care,2636 Oliver Crescent,Arbutus,604-760-0947,melindaho@shaw.ca,,English; Mandarin; Cantonese,2.5 - 5 yrs; 19 - 36 mo,Montessori,April 21,1 spot available in September for 3 years to 5 years old,49.2489133,-123.163848,100
Panda Licensed Family Child Care,#302-2260 West 10th Avenue,Kitsilano,604-727-7269,,,English; Polish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 21,Spots available for 2 years old and over,49.2628896,-123.1567661,98
Tiny Little Duckies Licensed Family Child Care,784 East 62nd Avenue,Sunset,604-327-7827,nayal.kumar@yahoo.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 15,spots available for 2 years old and up,49.2136388,-123.0888105,100
Dragonfly Licensed Family Child Care,#403- 1267 Marinaside Crescent,Yaletown,604-767-4749,brkiclila@yahoo.com,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 15,Spot available for 15mths and over in May. Monday - Friday,49.2728706,-123.1209146,99
Sunrise In-Home Multi-Age Child Care,5638 Rupert Street,Renfrew- Collingwood,604-561-4084,ravipuri1@gmail.com,,English; Punjabi; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 14,1 spot available for 3-5 years old,49.2336162,-123.0427038,100
Sabrina’s Child Care (RLNR),,Kensington Cedar Cottage,7783184693,,,,,,April 10,1 spot currently available and 1 spot available in June 2026,,,0
First Avenue Licensed Family Child Care,162 Walter Hardwick Avenue,Mount Pleasant,778-839-9999,,,English,2.5 - 5 yrs,,April 10,1 spot available for 3-4 years old starting September 2026,49.270641,-123.1086047,100
Orchid Licensed Family Child Care,789 East 14th Avenue,Mount Pleasant,778-737-8521,orchidvancouver@yahoo.com,,English; Tagalog; Cantonese,5 - 12 yrs; 0 - 18 mo; 19 - 36 mo,,April 9,2 spots available starting September 2026 for 3 years old and older,49.2581505,-123.087611,100
Plum Treehouse In-Home Multi Age,3530 West 42nd Ave,Dunbar- Southlands,236-863-3791,lusuyan1212@gmail.com,,English; Mandarin,5 - 12 yrs; 2.5 - 5 yrs,,April 8,6 spots available for 2.5-5 years old,49.2335328,-123.1829092,100
Little Stars Child Care on East 58th,7308 Main Street,Sunset,778-829-9650,arzoomashal@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 7,Spots available for infant/toddler,49.2182507,-123.1015048,100
SSOCC Southlands Multi Age Daycare,6426 Dunbar Street,Dunbar- Southlands,604-362-7928,registration@alderwoodhouse.com,alderwoodhouse.com/,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,April 7,2 spots available for 3-5 years old,49.2283416,-123.1852146,100
Cats in the Cradle (RLNR),,West End,778-316-2020,,,English,0 - 18 mo; 19 - 36 mo,,April 7,Waitlist currently open accepting 6-20 months old,,,0
Suzy Child Care (RLNR),,Kitsilano,604-721-5445,,,English; Farsi; Turkish,2.5 - 5 yrs,,April 2,1 spot available for 1 -2 years old,,,0
Langara Stars Muti-Age Daycare (Group Centre),7430 Cambie Street,Oakridge,778-865-4842,zfarro@gmail.com,,English; Farsi; Thai,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo,Montessori,March 31,2 spots available for under 3 years old,49.2175123,-123.1162907,100
Starlet Academy In -Home Muti-age Child Care,2135 Newport Avenue,Victoria- Fraserview,236-869-1331,starlet.daycare@gmail.com,,English,2.5 - 5 yrs,,March 27,2 spots available immediately for 2.5 to 3 years old 1 spot available for 3-5 years old,49.2155307,-123.0635771,100
Kids Castle Child Care (RLNR),,Downtown,604-872-7156,,,English; Urdu,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,March 27,1 spot available starts in May,,,0
Peninsula Montessori Academy Fraser (Group Child Care for 30 months to 5 years old),3456 Fraser Street,Kensington-Cedar Cottage,778-994-1288,info@peninsulama.com,,English,2.5 - 5 yrs,Montessori,March 13,2 spots available for 2.5-5 years old,49.2541747,-123.0891516,100
Peninsula Montessori Academy Oak (Group Child Care for 30 months to 5 years old),3456 Fraser Street,South Cambie,778-994-1288,info@peninsulama.com,,English,2.5 - 5 yrs,Montessori,March 13,4 spots available for 2.5-5 years old,49.2541747,-123.0891516,100
Tweety Blue Bird III,425 East 56th Avenue,Sunset,778-855-9546,tweetybluebirdmain@gmail.com,,English,2.5 - 5 yrs,,March 13,2 Spots available for 2 years old to 5 years old,49.2194604,-123.0969138,100
Twins Fun Time Licensed Family Child Care,4774 Joyce Street,Renfrew- Collingwood,604-446-3533,mmarilyn67@hotmail.com,,English; Tagalog,5 - 12 yrs,,March 10,Spots available for 2 years old and over,49.2418578,-123.0279248,100
