name,location,phone,email,website,curriculum,languages,age_groups,schools_served
$10 a Day ChildCareBC Centre - 3 Corners Child Care Centre I,1 Kingsway,604-257-3061,vera.meza@vancouver.ca,mountpleasantcc.ca,Emergent/Play Based,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - 3 Corners Child Care Centre II (Infant/Toddler),1 Kingsway,604-257-3061,vera.meza@vancouver.ca,mountpleasantcc.ca,Emergent/Play Based,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Acadia Daycare Centre,101 - 2730 Acadia Road,604-822-5343,childcare@housing.ubc.ca,,Play Based,English; Mandarin; French; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Atelier Children's Centre - Toddler Program,396-825 Homer Street,604-718-6555,info@vsocc.org,vsocc.org,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Atelier Children's Centre (3-5 Program),Suite 396 - 825 Homer Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Auklet Group Day Care,5615 Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Barish,2835 (A) Revelstoke Court,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Bayshore Gardens Children's Centre (3-5 Program),200 - 581 Cardero Street,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Bayshore Gardens Children's Centre (Infant/Toddler),200-581 Cardero Street,604-718-6555,info@vsocc.org,vsocc.org,Play Based,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Beach YMCA Child Care Centre,1475 Burrard Street,604-683-3417,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English; French; Italian,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Berwick Child Development Centre,2765 Osoyoos Crescent,604-822-6616,berwick@develop.bc.ca,,Play Based,English; Spanish; Mandarin; French; Cantonese; Polish; German,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Boat Day Care Centre,2908 Victoria Drive,604-423-3074,boatdaycare@gmail.com,boatdaycare.org,,English; Mandarin; French; Cantonese,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Bob & Kay Ackles YMCA Nanook House I,1255 East 10th Avenue,604-872-7011,gv.childcare@bc.ymca.ca,gv.ymca.ca/,Reggio Inspired,English; Tagalog; Hindi,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Bob & Kay Ackles YMCA Nanook House II,1255 East 10th Avenue,604-872-7011,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Britannia Child Care Centre Out Of School,1661 Napier Street,604-718-5843,lorraine.evans@vancouver.ca,,,English; Cantonese,5 - 12 yrs,Britannia; Queen Victoria Annex
$10 a Day ChildCareBC Centre - Britannia on East 7th,960 East 7th Avenue,604-718-5844,mountpleasantchildcare@shawbiz.ca,,Play Based,English; Farsi; French; Hebrew,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Britannia Preschool,1661 Napier Street,604-718-5843,lorraine.evans@vancouver.ca,,Play Based,English; Spanish; Greek,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Canada Goose Daycare - Toddler Program,5660A Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,Play Based,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Caribou (3-5 Program),2329 West Mall,604-822-5343,childcare@housing.ubc.ca,,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Caribou (Infant/Toddler),2329 West Mall,604-822-5343,childcare@housing.ubc.ca,,,English,0 - 18 mo; 19 - 36 mo,
