name,contact_date,phone_email,neighbourhood,vacancies
Sunny House Licensed Family Child Care,July 10,778-823-4045,West End,1 spot available for 16 months old and over
Honey In-Home Multi-Age Child Care,July 10,778-999-1521,Renfrew-Collingwood,1 spot available for 2-4 years old
First Avenue Licensed Family Child Care,July 9,778-839-9999,Mount Pleasant,1 spot available for 3 years old and over starting now and 1 spot available for 3 years old and over starting in September
Green House Multi-Age Child Care,July 9,604-760-5048,Mount Pleasant,1 spot available for child over 3 years old in September
Langara Stars Multi- Age Daycare,July 9,778-865-4842,Marpole,Spots available for 1 year old and older
Niki Child Care (RLNR),July 9,604-742-0670,South Cambie,"Spots available Monday – Friday, and on weekends (Sunday 8am to 5pm) Extended hours available: Monday to Friday 5pm to 10pm"
Aida Place Licensed Family Child Care,July 8,778-881-7702,West End,1 spot for under 2 years old
South Vancouver Community Montessori Daycare (30 months to 5 years old),"July 7, 2027",778-929-7545 liviadaycareinfo@gmai l.com,Victoria-Fraserview,4 spots available for 3-5 years old
Lovey’s Little Angels In-Home Multi Age Care,July 7,604-215-2214,Sunset,2 spots available in September 2026 for 3-5 years old *Overnight care available* *Extended hours available after 5:30pm*
Nadi’s Licensed Family Child Care,July 7,604-689-1066,West End,1 spot available for 1.5 years old and over
Gingerbread House Day Care,July 3,604-433-4819 www.day-care- vancouver.com,Killarney,September enrolment is open for 3-5 years old
Yaletown Play to Learn Licensed Family Child Care,July 3,604-805-3825,Downtown,1 spot for 18 months and older starting September 2026 Monday to Thursday only
Monkey Tree Montessori Preschool,July 3,604-677-8339 montessori.monkeytre e@gmail.com https://monkeytreem ontessori.com/,Hastings-Sunrise,5 spots for morning session (8:30am-11:30am) for 2.5 to 5 years old starting September 2026 10 spots for afternoon session (12:15pm to 3:15pm) for 2.5 to 5 years old starting September 2026
$10/day Child Care - Children’s World Child Care Centre,July 2,604-254-2551 mhagabronstyn@vjls- jh.com,Strathcona,Spots available for 3 years and 4 years old Starting in September 2026
Maple House Academy (Group Child Care under 3),July 2,604-275-6666,Dunbar-Southlands,2 full time spots and 1 part time spot for the infant program (8 months to 2 years old)
Little Seeds Montessori & Play Child Care In-Home Multi- Age,July 2,778-859-9815,Fairview,5 spots for 30 months and older *does not accept infant and toddler*
IKOKA Child Care Learning Center,June 30,ikokachildcarecenter @outlook.com,Sunset,1 full time spot currently available now for 30 months and older 1 full time spot starting August 2026 for 30 months and older 2 full time spots for 30 months and older starting September 2026
Rainbow Child Care (RLNR),June 29,778-681-4161,West End,2 spots available starting in August for 0-5 yrs old. Monday to Friday 8am to 5pm
Hands & Hearts Licensed Family Child Care,June 29,778-834-1345,Marpole,"2 spots available for 2 years old to 5 years old, 1 spot available for 1 year old to 2 years old"
Play and Learn Montessori In-Home Multi-Age Child Care,June 26,778-996-8019,Sunset,"1 spot available in August 2026 for under 3 years old 1 spot available in September 2026 for under 3 years old *Care provider speaks English, Russian and Ukraine"
Sunny Child Care (RLNR),June 25,604-317-4929,Downtown,1 spot available starting September 2026 for 12 months to 15 months
SSOCC Southlands Multi -Age Daycare,June 24,604-362-7928,Dunbar-Southlands,1 spot available for 3-5 years old
Little Sunshine In-Home Multi -Age Child Care,June 23,778-838-3928,Marpole,1 spot available starting July 2026 for 1.5 years old and older 2 spots available starting September 2026 for 1.5 years old and older
Anahid In-Home Multi-Age Child Care,June 23,778-373-0329,Downtown,"2 spots available for 36 months and older starting in July, August, or September 2026"
University Hill Preschool,June 23,604-228-8610 universityhillpreschool @gmail.com www.universityhillpre school.com,UEL/UBC,"*Now enrolling, teachers speak English, Farsi, Urdu, French, Hindi and Mandarin 3-Year-Old (AM): Mon to Thu, 9:10-11:10 AM 4-Year-Old (PM): Mon to Thu, 12:30-3:30 PM *4x Prime Minister’s Award Winner (Excellence in Early Childhood Education)"
Peninsula Montessori Academy Fraser (Group Child Care for 30 months to 5 years old),June 23,778-994-1288,Kensington-Cedar Cottage,1 spot available for 2.5-5 years old
Peninsula Montessori Academy Oak (Group Child Care for 30 months to 5 years old),June 23,778-994-1288,South Cambie,2 spots available for 2.5-5 years old
Bon Début Family Daycare (In Home Muti-age),June 22,604-442-3339 bondebutdaycare@g mail.com,Killarney,2 spots available in September for 3 years old and over
The Big Playhouse (Group Daycare),June 22,236-975-1611 604-690-0439 thebigplayhouse@ outlook.com,South Van/Sunset,4 spots available in July across the 3 locations • 44 E 58th Ave • 5945 Main St • 594 E 49th Ave 30mths to school age only
Oasis Montessori Academy,June 19,604-928-0951,Fairview,Spots available for 3-5 years old starting July 2026
Happy House In- Home Muti-Age Child Care,June 19,604 – 803 -8325,Sunset,1 spot available for 3-5 years old 2 spots for Before/After School Care
ABC University Daycare,June 19,604-228-5885 admissions@abcdayca revancouver.com https://www.abcdayc arevancouver.com/,West Point Grey,3 spots available for 3 years and older starting August 2026
Happy Land Licensed Family Child Care,June 17,604-251-8029,Hastings-Sunrise,1 spot for under 2 years old 1 spot for over 2 years old
Tiny Little Duckies Licensed Family Child Care,June 17,604-327-7827,Sunset,2 spots available for children under 3 years old 3 spots available for children over 3 years old *CCFRI approved*
Eco Bear In-Home Multi-Age Child Care,June 16,ecobeardaycare@gm ail.com,Kitsilano,Full time spot available in October for 2-3 years old
Angels Playhouse Daycare Society,June 15,604-809-3868,Victoria-Fraserview,Spots available for 3-5 years old
Home Sweet Home Licensed Family Child Care,June 12,604-619-0331,Mount Pleasant,"1 spot for 3.5 years old and over, full-time or part- time (3 days)"
Young Star In-Home Multi-Age Child Care,June 10,604-889-0795,Oakridge,1 spot available for under 3 years old starting in July
Lady Bug Licensed Family Child Care,June 9,604-681-2967,West End,1 spot for 18 months and older
Champlain Heights Community Centre,June 9,604-718-6575,Killarney,Weekend Childcare (full day) spots available for school age children.
Little Stars Child Care Centre East 58th,June 8,778-829-9650,Sunset,1 spot available August 2026 and 1 spot available for September 2026 for Infant/Toddler
Little Monsters Academy (Preschool),June 5,778-522-9406 Info@littlemonsters.ca,Sunset,Spots available for 3-5 years old at 2 locations: Sunset & Kensington- Cedar Cottage Morning class (8am- 12pm) & Afternoon class (12:30-4:30pm)
Suzy Child Care (RLNR),June 4,604-721-5445,Kitsilano,1 Spot available for 1-2 years old
Bambi World Licensed Family Child Care,June 3,604-602-0225,Mount Pleasant,1 spot available for 4 years old only starts in September
Sabrina’s Child Care (RLNR),May 29,778-318-4693,Kensington Cedar Cottage,1 spot available starting June 2026
Mini Meadow Child Care,May 29,www.minimeadowedu .ca minimeadowedu@gm ail.com,Killarney,1 spot starting August 2026 for 30 months and older
Twins Fun Time Licensed Family Child Care,May 25,604-446-3533,Renfrew-Collingwood,"1 spot available for under 4 years old starting in June, and 2 spots available for 4 years old and over starting in September"
